feature,mean_abs_shap
Spread_Crack,16.296001538914016
EX_USD_KRW,0.72717240014729
Com_Gasoline,0.6308718072230582
Ratio_Gold_Oil,0.4604821186478974
Com_Gasoline_ma12r,0.32502236660816697
Idx_SnPVIX,0.21407188240081207
Com_Coal,0.20800997125846885
Com_PalmOil,0.17896601723378402
Bonds_US_3M_ret,0.17178534607460774
Idx_SnP500_ret,0.164164883543843
Idx_SnP500,0.1543675203083455
Bonds_US_10Y,0.1493512422614777
Idx_DxyUSD_ma12r,0.13691612379019233
Com_NaturalGas,0.13663295127017322
Spread_10Y_2Y,0.13546662698486886
EX_USD_CNY,0.1263927976341189
Com_Gasoline_ret,0.12372913361267185
Idx_CSI300,0.12187483305249187
Bonds_US_2Y,0.10685266673562005
Bonds_US_2Y_ret,0.10394562735423285
Idx_DxyUSD,0.10311239923700115
EX_USD_JPY,0.10110885760393899
Idx_SnPVIX_ret,0.09803412900973883
Com_Iron_Ore_ret,0.09279201571926024
Com_Soybeans,0.09105784903972561
Idx_SnPVIX_ma12r,0.08070791770533198
Com_LME_Cu_Cash,0.07724752811076657
Com_NaturalGas_ma4r,0.07487716494118564
Bonds_US_3M,0.07342421183749939
Com_NaturalGas_ma12r,0.06823472325443686
Com_Gasoline_ma4r,0.06728912170628568
Bonds_KOR_10Y_ret,0.06697773131512044
Com_Corn_ret,0.06657468940697182
Com_LME_Cu_Cash_ret,0.06417040304104098
Com_Iron_Ore,0.0638601746422886
Com_Uranium,0.06366241436414523
EX_USD_KRW_ret,0.06348453068739575
Com_PalmOil_ret,0.06310667872116744
Com_Corn,0.06190083707753277
Idx_SnPVIX_ma4r,0.060561211170809474
Bonds_KOR_10Y,0.05915578613176368
Com_Gold,0.054931708379232856
Bonds_US_10Y_ret,0.05229619164883541
EX_USD_JPY_ret,0.05176729126428048
Com_Gold_ret,0.051375075773773364
Com_Steel,0.050015197654835405
Idx_DxyUSD_ret,0.04939637103152761
Com_Steel_ret,0.040837981087234555
Com_Coal_ret,0.03975454568660909
Com_Uranium_ret,0.039740002841166674
EX_USD_CNY_ret,0.0347815905240663
Com_Soybeans_ret,0.03425203282156281
Idx_CSI300_ret,0.03083671073105567
Idx_DxyUSD_ma4r,0.029642205313311524
Com_NaturalGas_ret,0.02875635154369605
