feature,mean_abs_shap
Spread_Crack,16.81718819550531
EX_USD_KRW,0.7616751102682718
Com_Gasoline,0.6264068369491297
Ratio_Gold_Oil,0.5445969408892778
Com_Gasoline_ma12r,0.3471963715509192
Com_Coal,0.20536406340442143
Com_PalmOil,0.19828541435390576
Idx_SnPVIX,0.19198026756119846
Bonds_US_3M_ret,0.19116958777078455
Idx_SnP500_ret,0.15585080768803367
EX_USD_CNY,0.14710469009346927
Bonds_US_10Y,0.14619252406292146
Idx_DxyUSD_ma12r,0.14253497942802026
Idx_SnP500,0.1421023263775465
Spread_10Y_2Y,0.1381615977835789
Com_Gasoline_ret,0.13477803614553785
Com_NaturalGas,0.13376266467260836
Idx_CSI300,0.1325769034484746
EX_USD_JPY,0.10918023584674649
Bonds_US_2Y,0.10068851489106914
Idx_SnPVIX_ret,0.09638436298043551
Com_Soybeans,0.09256161042019377
Idx_DxyUSD,0.09062533675974907
Idx_SnPVIX_ma12r,0.09024901559841353
Com_Iron_Ore_ret,0.0872371324129401
Com_Uranium,0.08541153425456316
Bonds_US_2Y_ret,0.08132774462395331
Com_LME_Cu_Cash,0.07614375215244577
Com_NaturalGas_ma12r,0.07503615909043107
Com_NaturalGas_ma4r,0.07255462643524097
Com_Gold_ret,0.07237450871623693
Com_Corn_ret,0.07062745107031769
Bonds_KOR_10Y_ret,0.06982898245900847
Bonds_US_3M,0.0694553560742851
EX_USD_KRW_ret,0.06567446644031392
Com_LME_Cu_Cash_ret,0.06311582810104681
Bonds_KOR_10Y,0.058255387314478824
EX_USD_CNY_ret,0.05799593559315917
Com_PalmOil_ret,0.0578285869349326
Com_Steel_ret,0.055439994056531335
Idx_SnPVIX_ma4r,0.05219973228024894
Com_Steel,0.05013994915679835
EX_USD_JPY_ret,0.04980366088746618
Com_Gasoline_ma4r,0.04783662780793345
Com_Iron_Ore,0.046894476960265774
Com_Gold,0.04586639861071115
Bonds_US_10Y_ret,0.0442679811855421
Idx_CSI300_ret,0.04209293211886715
Com_Corn,0.040080312091861275
Idx_DxyUSD_ma4r,0.03844370095495603
Com_Coal_ret,0.03742867044922068
Idx_DxyUSD_ret,0.036583818349055615
Com_Uranium_ret,0.03605506547322166
Com_Soybeans_ret,0.027974211692228777
Com_NaturalGas_ret,0.024799353047179454
