Experiment,Base,Residual,Base_Val,Base_Test,S2_Val,S2_Test,RoR_Strategy,RoR_Desc,RoR_Val,RoR_Test,RoR_Improved,Final_Val,Final_Test
Exp2: LSTM+LSTM,LSTM,LSTM,1.9585311329346595,1.2968191058142375,1.982847669499993,1.2698480673062849,Strategy_G,RW_Blend(w=0.50),1.7073755691648898,1.0326358823481487,True,1.7073755691648898,1.0326358823481487
Exp3: PatchTST+PatchTST,PatchTST,PatchTST,1.5526524947478486,1.4438740304461875,1.456148763967708,1.3482510720281389,Strategy_G,RW_Blend(w=0.30),1.3538193124502507,1.2385246333401898,True,1.3538193124502507,1.2385246333401898
Exp5: PatchTST+NLinear,PatchTST,NLinear,1.5526524947478486,1.4438740304461875,1.458938555428696,1.6543826935872024,Strategy_G,RW_Blend(w=0.26),1.3978142318574678,1.429077285108686,True,1.3978142318574678,1.429077285108686
Exp4: Transformer+Transformer,Transformer,Transformer,1.2811657083101944,1.5021810088980116,1.4878221781776857,1.446163114539479,Strategy_C,"ElasticNet(a=0.01,l=0.5)",1.4477539518943505,1.4414489929583325,True,1.4477539518943505,1.4414489929583325
Exp1: PatchTST+iTransformer,PatchTST,iTransformer,1.5526524947478486,1.4438740304461875,1.0951573340390617,1.4893587820430578,Strategy_C,"ElasticNet(a=0.01,l=0.5)",1.0860984677734582,1.507638153314533,True,1.0860984677734582,1.507638153314533
