Model,RMSE,MAE,MAPE(%),Validation_RMSE
Naive_Drift,1.5124717605054783,1.2740023809523862,2.0383039119975224,
GradientBoosting,2.44513310609632,2.1321021980950245,3.438467266040467,
Hybrid_Naive0.7_GB0.3,1.343973576183037,1.1316652468931363,1.8161806354627243,2.301291231720948
Hybrid_Naive0.8_GB0.2,1.3473683460584047,1.1521675236154991,1.8475808628197161,2.455235589618098
Hybrid_Naive0.9_GB0.1,1.405644600972426,1.2056028094267983,1.9304997157561707,2.6261444307486945
