Experiment,Base,Residual,S2_Val_RMSE,S2_Test_RMSE,S2_Test_MAE,S2_Test_MAPE(%),RoR_Strategy,RoR_Description,Final_Val_RMSE,Final_Test_RMSE,Final_Test_MAE,Final_Test_MAPE(%),S2_Val_NRMSE(%),S2_Val_R2,S2_Test_NRMSE(%),S2_Test_R2,Final_Val_NRMSE(%),Final_Val_R2,Final_Test_NRMSE(%),Final_Test_R2
PatchTST+Transformer,PatchTST,Transformer,1.2580189891489475,2.275157846351851,1.8934299009050644,3.000817206160479,C,"ElasticNet(a=0.01,l1=0.1,l=0.50)",1.244318720867258,2.357729226462246,1.9775501503157595,3.134223066566244,1.9025495680346969,0.5329757630609497,3.6290027837809657,-1.8139050320454375,1.881830135557035,0.543092489782194,3.760708708608002,-2.021859199792392
LSTM+PatchTST,LSTM,PatchTST,1.2870315734139202,1.737765837903002,1.4025975721086776,2.2159032617279917,G,AllFeatLGBM(l=0.50),1.2523960212911809,1.540244169948086,1.2383722409872715,1.958619731644402,1.9464263935333608,0.5111862333907147,2.7718327646679617,-0.6416058140631438,1.8940457416527883,0.5371413494949178,2.4567747637407606,-0.28963116033107417
PatchTST+LSTM,PatchTST,LSTM,1.2839392886148753,2.791000642761998,2.4420631584530788,3.862715286525281,G,AllFeatLGBM(l=0.50),1.2788750110997158,2.7255425739471457,2.3836423103615334,3.7710078194114023,1.941749814595039,0.5135323071743272,4.4518006161016865,-3.2345400418218224,1.9340909166912854,0.517362314999111,4.347391370681231,-3.0382417212421116
