Target,EvalSplit,Baseline,ResidualModel,RMSE,MAE,MAPE,NRMSE,NumDates
Brent Oil,holdout,Naive,-,1.8184309002768435,1.3833904761904787,2.2473962371258005,0.018658993805172015,12
WTI Oil,holdout,Naive,-,1.6481161446765629,1.2791297619047608,2.211760343507603,0.016455490880991283,12
Brent Oil,tscv,Naive,-,4.531204808641306,3.591176996336996,4.849147379945758,0.04649487777706151,104
WTI Oil,tscv,Naive,-,4.932854626046759,4.0396997680097675,5.744578288365649,0.04925171358727145,104
