Target,TargetColumn,EvalSplit,Baseline,ResidualModel,RMSE,MAE,MAPE,NRMSE,NumDates
Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,LightGBM,9.525406970680233,9.272194544474283,14.8634284003685,0.09774059032466174,12
Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,XGBoost,10.725943285352997,10.45832633972168,16.749546768916094,0.11005934252742774,12
Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,-,12.578240579790599,12.516417185465494,20.01637669656148,0.12906584078754105,12
Brent Oil,Com_BrentCrudeOil,holdout,PatchTST,NLinear,14.683099635480234,14.532922744750977,23.21171600191828,0.15066388560458294,12
WTI Oil,Com_CrudeOil,holdout,PatchTST,XGBoost,8.327551659868337,8.094527244567871,13.82695439077162,0.08314580913643055,12
WTI Oil,Com_CrudeOil,holdout,PatchTST,LightGBM,8.368985829927654,8.11213747660319,13.864836742271342,0.08355950547074219,12
WTI Oil,Com_CrudeOil,holdout,PatchTST,-,9.347619818681244,9.281912485758463,15.838625726195474,0.09333060244699513,12
WTI Oil,Com_CrudeOil,holdout,PatchTST,NLinear,13.072833324742827,12.851104736328125,21.935120039674693,0.13052471469250798,12
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,-,8.460175838139323,7.020579448113074,9.09657862185324,0.08681021012702475,104
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,NLinear,9.250412222544522,7.687830423697448,9.97179573700364,0.09491885797225952,104
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,LightGBM,10.585749348601546,9.316578840598082,12.944705901070982,0.10862080681129481,104
Brent Oil,Com_BrentCrudeOil,tscv,PatchTST,XGBoost,11.36144302789253,9.953217457502317,13.858148564049005,0.11658023136484702,104
WTI Oil,Com_CrudeOil,tscv,PatchTST,LightGBM,9.856702294320929,8.561009089152018,12.552372455892543,0.09841349788650634,104
WTI Oil,Com_CrudeOil,tscv,PatchTST,XGBoost,10.224848215771093,8.8546400926052,12.99619551229936,0.10208922296987794,104
WTI Oil,Com_CrudeOil,tscv,PatchTST,-,10.263917235392617,8.376924637036446,11.164157649708255,0.10247930463868982,104
WTI Oil,Com_CrudeOil,tscv,PatchTST,NLinear,10.72821416114133,8.620048749141203,11.503921975908044,0.10711504214566608,104
