,total_gain,avg_gain
EX_USD_KRW_log_ret,0.010686769208405167,0.0021373538416810333
Com_LME_Zn_Inv_log_ret,0.010220195050351322,0.002044039010070264
Bonds_CHN_2Y_diff,0.010030004836153239,0.002006000967230648
EX_USD_CNY_diff,0.009858151955995709,0.001971630391199142
Idx_SnPGlobal1200_diff,0.009518415783531964,0.0019036831567063929
Idx_CH50_diff,0.009023335049278103,0.0018046670098556205
EX_USD_JPY_diff,0.008951339987106621,0.0017902679974213243
Bonds_CHN_20Y_diff,0.007524418935645372,0.0015048837871290744
Bonds_CHN_30Y_diff,0.004054023855132982,0.0008108047710265964
EX_USD_KRW_diff,0.0,0.0
