Model,Type,RMSE,MAE,MAPE,RMSPE
Ensemble_Naive_Drift*0.69+Transformer*0.31,Ensemble,361.49861323958544,299.14462782118045,1.9525821966329886,2.3544616406061314
Naive_Damped_0.7,Naive,438.5985093406422,326.5041666666668,2.0964279639771055,2.8243237500344196
Naive_Damped_0.9,Naive,460.227992047802,325.7791666666665,2.0995192022126385,2.954057214952417
Naive_Drift,Naive,480.66576008351853,325.76388888888914,2.103091735077481,3.070721821315891
Naive_Last,Naive,569.2254860204216,410.0,2.5775806436990636,3.49887999718616
Transformer,DL,805.6835020963898,629.3516710069445,3.951987449283103,4.897531725597103
GradientBoosting,ML,1142.2384107767145,939.7420895354938,5.946297922274696,6.981011975384526
ARIMA,Statistical,1215.9860070952775,804.8053637033294,4.895253759540184,7.062772362008913
LightGBM,ML,1664.5063229063521,1533.2612294943485,10.219317997206987,11.241314113212116
