Experiment,Base,Residual,Base_Val_RMSE,Base_Test_RMSE,Base_Test_MAE,Base_Test_MAPE(%),S2_Val_RMSE,S2_Test_RMSE,S2_Test_MAE,S2_Test_MAPE(%),Seeds,Epochs,Patience,ElapsedSec,Base_Val_NRMSE(%),Base_Val_R2,Base_Test_NRMSE(%),Base_Test_R2,S2_Val_NRMSE(%),S2_Val_R2,S2_Test_NRMSE(%),S2_Test_R2
PatchTST+Transformer,PatchTST,Transformer,1.523457050521792,1.5339265773343038,1.0026581853957406,1.5997338330868842,1.2580189891489475,2.275157846351851,1.8934299009050644,3.000817206160479,3,120,20,48.93133211135864,2.303981560207178,0.315102696418333,2.446697853596275,-0.27907354160966635,1.9025495680346969,0.5329757630609497,3.6290027837809657,-1.8139050320454375
PatchTST+LSTM,PatchTST,LSTM,1.523457050521792,1.5339265773343038,1.0026581853957406,1.5997338330868842,1.2839392886148753,2.791000642761998,2.4420631584530788,3.862715286525281,3,120,20,28.684332847595215,2.303981560207178,0.315102696418333,2.446697853596275,-0.27907354160966635,1.941749814595039,0.5135323071743272,4.4518006161016865,-3.2345400418218224
LSTM+PatchTST,LSTM,PatchTST,1.8686669219125367,1.277611665055005,1.0009398030598966,1.6000234506458375,1.2870315734139202,1.737765837903002,1.4025975721086776,2.2159032617279917,3,120,20,25.385622024536133,2.826055469552606,-0.030454505251716668,2.0378613714692673,0.11267216007787406,1.9464263935333608,0.5111862333907147,2.7718327646679617,-0.6416058140631438
Transformer+PatchTST,Transformer,PatchTST,1.3204307766376415,1.5563383888229307,1.1565530779883977,1.8326919090286744,1.2922445646866598,1.592698407788589,1.2079424543108257,1.9128283614177544,3,120,20,52.959957122802734,1.99693726834057,0.48548705856019614,2.48244593428976,-0.31672302749348935,1.9543101968619807,0.5072184325555871,2.5404421784871816,-0.3789656965259778
PatchTST+iTransformer,PatchTST,iTransformer,1.523457050521792,1.5339265773343038,1.0026581853957406,1.5997338330868842,1.3534004277559222,1.2308454917216145,0.9460353203909738,1.5054364718446644,3,120,20,29.917903184890747,2.303981560207178,0.315102696418333,2.446697853596275,-0.27907354160966635,2.0467985152966066,0.45947268543004394,1.9632667346682255,0.1764434047868978
Transformer+iTransformer,Transformer,iTransformer,1.3204307766376415,1.5563383888229307,1.1565530779883977,1.8326919090286744,1.4456256600024089,1.4526382922753944,1.0755568710327157,1.709848701010486,3,120,20,50.83422088623047,1.99693726834057,0.48548705856019614,2.48244593428976,-0.31672302749348935,2.186274212631791,0.3832960599482763,2.3170385364457835,-0.14710017837073197
PatchTST+PatchTST,PatchTST,PatchTST,1.523457050521792,1.5339265773343038,1.0026581853957406,1.5997338330868842,1.4880194835003635,1.5401021556919918,0.941991756984167,1.499639968754598,3,120,20,30.318124771118164,2.303981560207178,0.315102696418333,2.446697853596275,-0.27907354160966635,2.2503879909444193,0.3465952884603395,2.4565482431362544,-0.2893933570396352
Transformer+Transformer,Transformer,Transformer,1.3204307766376415,1.5563383888229307,1.1565530779883977,1.8326919090286744,1.4914040091425125,1.4453344395612704,1.0648781739734474,1.7009561018327952,3,120,20,53.28518795967102,1.99693726834057,0.48548705856019614,2.48244593428976,-0.31672302749348935,2.25550653673269,0.3436195478428964,2.305388486813235,-0.1355939583989616
