Stage,Test_RMSE,Val_RMSE,Improvement_vs_RW(%)
Random Walk (benchmark),1.1227449561973846,1.8242538671734283,0.0
Stage 1: ExpSmoothing (Baseline),4.167758110371324,5.256189228559402,-271.21147482034286
Stage 2: + NLinear (Residual①),1.9077601702532447,2.6166631841134347,-69.91928217737194
Stage 3: + LightGBM (RoR),1.2233612859883718,3.2835686131973087,-8.961637212048926
