feature,mean_abs_shap
Spread_Crack,16.096080717625956
EX_USD_KRW,0.7396486825479938
Com_Gasoline,0.5370451215830302
Ratio_Gold_Oil,0.5014316931885362
Com_Gasoline_ma12r,0.293617205684636
Com_Coal,0.21936264242250694
Com_PalmOil,0.19670533247389688
Idx_SnPVIX,0.19331113686280857
Bonds_US_3M_ret,0.18848192653258689
Idx_SnP500,0.1544558402621891
Bonds_US_10Y,0.15206521665696202
Com_Gasoline_ret,0.13498348904444926
Idx_SnP500_ret,0.1333566904450373
EX_USD_CNY,0.12932104850782902
Com_NaturalGas,0.12235818232724725
Idx_CSI300,0.11967691543175556
Idx_SnPVIX_ret,0.11800085214903161
Spread_10Y_2Y,0.11693089512314296
EX_USD_JPY,0.11194332749242492
Bonds_US_2Y_ret,0.11173322656910353
Idx_DxyUSD_ma12r,0.10735294103578855
Com_NaturalGas_ma12r,0.10677138755635442
Com_Soybeans,0.10413858965375283
Bonds_US_2Y,0.09808862939429087
Com_Iron_Ore_ret,0.09764135551687222
Bonds_US_3M,0.08112097581728368
EX_USD_KRW_ret,0.07982882950045296
Bonds_KOR_10Y,0.07457246368135823
Com_Steel,0.06820072991525919
Com_LME_Cu_Cash,0.06790015432121205
Com_Uranium,0.06633923694951463
Idx_SnPVIX_ma4r,0.06614616450368556
Idx_SnPVIX_ma12r,0.065470546334577
Com_PalmOil_ret,0.06400802433049964
Com_NaturalGas_ma4r,0.06331209230233124
EX_USD_CNY_ret,0.06251585449668791
Bonds_KOR_10Y_ret,0.06096240520519036
Com_Gasoline_ma4r,0.05446304461384416
Com_Iron_Ore,0.054440417817943905
Com_Gold_ret,0.05397817269230637
Com_Corn_ret,0.049450763388610534
Com_LME_Cu_Cash_ret,0.04556973314827662
Idx_DxyUSD,0.04492823651773302
Com_Corn,0.04479112873778198
Bonds_US_10Y_ret,0.04170306884234666
Idx_DxyUSD_ret,0.040769894642025496
Idx_DxyUSD_ma4r,0.040716312534572356
Com_Gold,0.038763653065201444
Com_Uranium_ret,0.03799356220477593
EX_USD_JPY_ret,0.03568740069493109
Idx_CSI300_ret,0.0354230156638315
Com_Steel_ret,0.034987451773018284
Com_Coal_ret,0.0329445749876697
Com_Soybeans_ret,0.02869950590254746
Com_NaturalGas_ret,0.021265635103449042
